Job ID                    Name             User            Time Use S Queue
------------------------- ---------------- --------------- -------- - -----
1701083.node96             ...ctype.default colinstewart           0 Q batch          
1701084.node96             ...ctype.default colinstewart           0 Q batch          
1701085.node96             ...ctype.default colinstewart           0 Q batch          
1701086.node96             ...ctype.default colinstewart           0 Q batch          
1701087.node96             ...ctype.default colinstewart           0 Q batch          
1701088.node96             ...ctype.default colinstewart           0 Q batch          
1701089.node96             ...ctype.default colinstewart           0 Q batch          
1701090.node96             ...ctype.default colinstewart           0 Q batch          
1701091.node96             ...ctype.default colinstewart           0 Q batch          
1701092.node96             ...ctype.default colinstewart           0 Q batch          
1701093.node96             ...ctype.default colinstewart           0 Q batch          
1701094.node96             ...ctype.default colinstewart           0 Q batch          
1701095.node96             ...ctype.default colinstewart           0 Q batch          
1701096.node96             ...ctype.default colinstewart           0 Q batch          
1701097.node96             ...ctype.default colinstewart           0 Q batch          
1701098.node96             ...ctype.default colinstewart           0 Q batch          
1701099.node96             ...ctype.default colinstewart           0 Q batch          
1701100.node96             ...ctype.default colinstewart           0 Q batch          
1701101.node96             ...ctype.default colinstewart           0 Q batch          
1701102.node96             ...ctype.default colinstewart           0 Q batch          
1701103.node96             ...ctype.default colinstewart           0 Q batch          
1701104.node96             ...ctype.default colinstewart           0 Q batch          
1701105.node96             ...ctype.default colinstewart           0 Q batch          
1701106.node96             ...ctype.default colinstewart           0 Q batch          
1701107.node96             ...ctype.default colinstewart           0 Q batch          
1701108.node96             ...ctype.default colinstewart           0 Q batch          
1701109.node96             ...ctype.default colinstewart           0 Q batch          
1701110.node96             ...ctype.default colinstewart           0 Q batch          
1701111.node96             ...ctype.default colinstewart           0 Q batch          
1701112.node96             ...ctype.default colinstewart           0 Q batch          
1701113.node96             ...ctype.default colinstewart           0 Q batch          
1701114.node96             ...ctype.default colinstewart           0 Q batch          
1701115.node96             ...ctype.default colinstewart           0 Q batch          
1701116.node96             ...ctype.default colinstewart           0 Q batch          
1701117.node96             ...ctype.default colinstewart           0 Q batch          
1701118.node96             ...ctype.default colinstewart           0 Q batch          
1701119.node96             ...ctype.default colinstewart           0 Q batch          
1701120.node96             ...ctype.default colinstewart           0 Q batch          
1701121.node96             ...ctype.default colinstewart           0 Q batch          
1701122.node96             ...ctype.default colinstewart           0 Q batch          
1701123.node96             ...ctype.default colinstewart           0 Q batch          
1701124.node96             ...ctype.default colinstewart           0 Q batch          
1701125.node96             ...ctype.default colinstewart           0 Q batch          
1701126.node96             ...ctype.default colinstewart           0 Q batch          
1701127.node96             ...ctype.default colinstewart           0 Q batch          
1701128.node96             ...ctype.default colinstewart           0 Q batch          
1701129.node96             ...ctype.default colinstewart           0 Q batch          
1701130.node96             ...ctype.default colinstewart           0 Q batch          
1701131.node96             ...ctype.default colinstewart           0 Q batch          
1701132.node96             ...ctype.default colinstewart           0 Q batch          
1701133.node96             ...ctype.default colinstewart           0 Q batch          
1701134.node96             ...ctype.default colinstewart           0 Q batch          
1701135.node96             ...ctype.default colinstewart           0 Q batch          
1701136.node96             ...ctype.default colinstewart           0 Q batch          
1701137.node96             ...ctype.default colinstewart           0 Q batch          
1701138.node96             ...ctype.default colinstewart           0 Q batch          
1701139.node96             ...ctype.default colinstewart           0 Q batch          
1701140.node96             ...ctype.default colinstewart           0 Q batch          
1701141.node96             ...ctype.default colinstewart           0 Q batch          
1701142.node96             ...ctype.default colinstewart           0 Q batch          
1701143.node96             ...ctype.default colinstewart           0 Q batch          
1701144.node96             ...ctype.default colinstewart           0 Q batch          
1701145.node96             ...ctype.default colinstewart           0 Q batch          
1701146.node96             ...ctype.default colinstewart           0 Q batch          
1701147.node96             ...ctype.default colinstewart           0 Q batch          
1701148.node96             ...ctype.default colinstewart           0 Q batch          
1701149.node96             ...ctype.default colinstewart           0 Q batch          
1701150.node96             ...ctype.default colinstewart           0 Q batch          
1701151.node96             ...ctype.default colinstewart           0 Q batch          
1701152.node96             ...ctype.default colinstewart           0 Q batch          
1701153.node96             ...ctype.default colinstewart           0 Q batch          
1701154.node96             ...ctype.default colinstewart           0 Q batch          
1701155.node96             ...ctype.default colinstewart           0 Q batch          
1701156.node96             ...ctype.default colinstewart           0 Q batch          
1701157.node96             ...ctype.default colinstewart           0 Q batch          
1701158.node96             ...ctype.default colinstewart           0 Q batch          
1701159.node96             ...ctype.default colinstewart           0 Q batch          
1701160.node96             ...ctype.default colinstewart           0 Q batch          
1701161.node96             ...ctype.default colinstewart           0 Q batch          
1701162.node96             ...ctype.default colinstewart           0 Q batch          
1701163.node96             ...ctype.default colinstewart           0 Q batch          
1701164.node96             ...ctype.default colinstewart           0 Q batch          
1701165.node96             ...ctype.default colinstewart           0 Q batch          
1701166.node96             ...ctype.default colinstewart           0 Q batch          
1701167.node96             ...ctype.default colinstewart           0 Q batch          
1701168.node96             ...ctype.default colinstewart           0 Q batch          
1701169.node96             ...ctype.default colinstewart           0 Q batch          
1701170.node96             ...ctype.default colinstewart           0 Q batch          
1701171.node96             ...ctype.default colinstewart           0 Q batch          
1701172.node96             ...ctype.default colinstewart           0 Q batch          
1701173.node96             ...ctype.default colinstewart           0 Q batch          
1701174.node96             ...ctype.default colinstewart           0 Q batch          
1701175.node96             ...ctype.default colinstewart           0 Q batch          
1701176.node96             ...ctype.default colinstewart           0 Q batch          
1701177.node96             ...ctype.default colinstewart           0 Q batch          
1701178.node96             ...ctype.default colinstewart           0 Q batch          
1701179.node96             ...ctype.default colinstewart           0 Q batch          
1701180.node96             ...ctype.default colinstewart           0 Q batch          
1701181.node96             ...ctype.default colinstewart           0 Q batch          
1701182.node96             ...ctype.default colinstewart           0 Q batch          
1701183.node96             ...ctype.default colinstewart           0 Q batch          
1701184.node96             ...ctype.default colinstewart           0 Q batch          
1701185.node96             ...ctype.default colinstewart           0 Q batch          
1701186.node96             ...ctype.default colinstewart           0 Q batch          
1701187.node96             ...ctype.default colinstewart           0 Q batch          
1701188.node96             ...ctype.default colinstewart           0 Q batch          
1701189.node96             ...ctype.default colinstewart           0 Q batch          
1701190.node96             ...ctype.default colinstewart           0 Q batch          
1701191.node96             ...ctype.default colinstewart           0 Q batch          
1701192.node96             ...ctype.default colinstewart           0 Q batch          
1701193.node96             ...ctype.default colinstewart           0 Q batch          
1701194.node96             ...ctype.default colinstewart           0 Q batch          
1701195.node96             ...ctype.default colinstewart           0 Q batch          
1701196.node96             ...ctype.default colinstewart           0 Q batch          
1701197.node96             ...ctype.default colinstewart           0 Q batch          
1701198.node96             ...ctype.default colinstewart           0 Q batch          
1701199.node96             ...ctype.default colinstewart           0 Q batch          
1701200.node96             ...ctype.default colinstewart           0 Q batch          
1701201.node96             ...ctype.default colinstewart           0 Q batch          
1701202.node96             ...ctype.default colinstewart           0 Q batch          
1701203.node96             ...ctype.default colinstewart           0 Q batch          
1701204.node96             ...ctype.default colinstewart           0 Q batch          
1701205.node96             ...ctype.default colinstewart           0 Q batch          
1701206.node96             ...ctype.default colinstewart           0 Q batch          
1701207.node96             ...ctype.default colinstewart           0 Q batch          
1701208.node96             ...ctype.default colinstewart           0 Q batch          
1701209.node96             ...ctype.default colinstewart           0 Q batch          
1701210.node96             ...ctype.default colinstewart           0 Q batch          
1701211.node96             ...ctype.default colinstewart           0 Q batch          
1701212.node96             ...ctype.default colinstewart           0 Q batch          
1701213.node96             ...ctype.default colinstewart           0 Q batch          
1701214.node96             ...ctype.default colinstewart           0 Q batch          
1701215.node96             ...ctype.default colinstewart           0 Q batch          
1701216.node96             ...ctype.default colinstewart           0 Q batch          
1701217.node96             ...ctype.default colinstewart           0 Q batch          
1701218.node96             ...ctype.default colinstewart           0 Q batch          
1701219.node96             ...ctype.default colinstewart           0 Q batch          
1701220.node96             ...ctype.default colinstewart           0 Q batch          
1701221.node96             ...ctype.default colinstewart           0 Q batch          
1701222.node96             ...ctype.default colinstewart           0 Q batch          
1701223.node96             ...ctype.default colinstewart           0 Q batch          
1701224.node96             ...ctype.default colinstewart           0 Q batch          
1701225.node96             ...ctype.default colinstewart           0 Q batch          
1701226.node96             ...ctype.default colinstewart           0 Q batch          
1701227.node96             ...ctype.default colinstewart           0 Q batch          
1701228.node96             ...ctype.default colinstewart           0 Q batch          
1701229.node96             ...ctype.default colinstewart           0 Q batch          
1701230.node96             ...ctype.default colinstewart           0 Q batch          
1701231.node96             ...ctype.default colinstewart           0 Q batch          
1701232.node96             ...ctype.default colinstewart           0 Q batch          
1701233.node96             ...ctype.default colinstewart           0 Q batch          
1701234.node96             ...ctype.default colinstewart           0 Q batch          
1701235.node96             ...ctype.default colinstewart           0 Q batch          
1701236.node96             ...ctype.default colinstewart           0 Q batch          
1701237.node96             ...ctype.default colinstewart           0 Q batch          
1701238.node96             ...ctype.default colinstewart           0 Q batch          
1701239.node96             ...ctype.default colinstewart           0 Q batch          
1701240.node96             ...ctype.default colinstewart           0 Q batch          
1701241.node96             ...ctype.default colinstewart           0 Q batch          
1701242.node96             ...ctype.default colinstewart           0 Q batch          
1701243.node96             ...ctype.default colinstewart           0 Q batch          
1701244.node96             ...ctype.default colinstewart           0 Q batch          
1701245.node96             ...ctype.default colinstewart           0 Q batch          
1701246.node96             ...ctype.default colinstewart           0 Q batch          
1701247.node96             ...ctype.default colinstewart           0 Q batch          
1701248.node96             ...ctype.default colinstewart           0 Q batch          
1701249.node96             ...ctype.default colinstewart           0 Q batch          
1701250.node96             ...ctype.default colinstewart           0 Q batch          
1701251.node96             ...ctype.default colinstewart           0 Q batch          
1701252.node96             ...ctype.default colinstewart           0 Q batch          
1701253.node96             ...ctype.default colinstewart           0 Q batch          
1701254.node96             ...ctype.default colinstewart           0 Q batch          
1701255.node96             ...ctype.default colinstewart           0 Q batch          
1701256.node96             ...ctype.default colinstewart           0 Q batch          
1701257.node96             ...ctype.default colinstewart           0 Q batch          
1701258.node96             ...ctype.default colinstewart           0 Q batch          
1701259.node96             ...ctype.default colinstewart           0 Q batch          
1701260.node96             ...ctype.default colinstewart           0 Q batch          
1701261.node96             ...ctype.default colinstewart           0 Q batch          
1701262.node96             ...ctype.default colinstewart           0 Q batch          
1701263.node96             ...ctype.default colinstewart           0 Q batch          
1701264.node96             ...ctype.default colinstewart           0 Q batch          
1701265.node96             ...ctype.default colinstewart           0 Q batch          
1701266.node96             ...ctype.default colinstewart           0 Q batch          
1701267.node96             ...ctype.default colinstewart           0 Q batch          
1701268.node96             ...ctype.default colinstewart           0 Q batch          
1701269.node96             ...ctype.default colinstewart           0 Q batch          
1701270.node96             ...ctype.default colinstewart           0 Q batch          
1701271.node96             ...ctype.default colinstewart           0 Q batch          
1701272.node96             ...ctype.default colinstewart           0 Q batch          
1705531.node96             ...i@hotmail.com galaxy2         110:36:5 R largemem       
1705534.node96             ...i@hotmail.com galaxy2         58:28:28 R largemem       
1705563.node96             ...mail.ucsb.edu galaxy2         75:35:34 R largemem       
1705910.node96             2N2+2Li+45LiCl   hhk05           5476:55: R batch          
1705946.node96             CrO2_002         schretien       1824:34: R batch          
1706097.node96             Ni1H2Bi82liquid  vishchem        2540:14: R batch          
1706140.node96             Ni1Bi82liquid    vishchem        2604:02: R batch          
1706254.node96             dojob.job        abagnell        229:52:0 R batch          
1707193.node96             CrO2_006         schretien       1824:06: R batch          
1708469.node96             ...mail.ucsb.edu galaxy2         12:47:58 R largemem       
1708486.node96             ...mail.ucsb.edu galaxy2                0 Q largemem       
1708487.node96             ...mail.ucsb.edu galaxy2                0 Q largemem       
1708513.node96             Pt1H1Sn82liquid  vishchem        1660:35: R batch          
1709841.node96             2AgCl+2Li+45LiCl hhk05           3274:19: R batch          
1710335.node96             ...31.721912.txt tguzella        266:02:1 R batch          
1710693.node96             traj11.job       sboldissar      68:42:04 R molpro         
1710694.node96             traj12.job       sboldissar      70:00:28 R molpro         
1710740.node96             ...CaPd3O4_HSEBS llamontagne     1764:01: R batch          
1710763.node96             GCM              kartik          462:34:5 R batch          
1710764.node96             GCM              kartik          449:34:2 R batch          
1710825.node96             ...mail.ucsb.edu galaxy2                0 Q largemem       
1710880.node96             Ni1Bi82liquid    vishchem        1827:26: R batch          
1710939.node96             GLU1.01          cwu             113:06:1 R gpuq           
1711438.node96             CrO2_008         schretien       1180:53: R batch          
1711608.node96             CrO2_003         schretien       1150:35: R batch          
1711625.node96             CH4+2Na+45NaCl   hhk05           3020:50: R batch          
1711626.node96             2Na+45NaCl       hhk05           2988:45: R batch          
1711627.node96             AgCl+2Na+45NaCl  hhk05           1852:53: R batch          
1712380.node96             CrO2_005         schretien       1089:56: R batch          
1714167.node96             lammpstemper     ncharest        1672:26: R batch          
1714168.node96             lammpstemper     ncharest        00:00:20 R batch          
1714170.node96             lammpstemper     ncharest        1672:16: R batch          
1714171.node96             lammpstemper     ncharest        1564:26: R batch          
1714173.node96             lammpstemper     ncharest        1670:49: R batch          
1715159.node96             plasmid_14.16    lyyanlely       02:31:04 R batch          
1715160.node96             plasmid_15.16    lyyanlely       02:28:52 R batch          
1715161.node96             plasmid_1.17     lyyanlely       02:10:54 R batch          
1715162.node96             plasmid_2.17     lyyanlely       01:54:51 R batch          
1715163.node96             plasmid_3.17     lyyanlely       01:52:11 R batch          
1715164.node96             plasmid_4.17     lyyanlely       01:52:26 R batch          
1715165.node96             plasmid_5.17     lyyanlely       01:45:19 R batch          
1715167.node96             plasmid_6.17     lyyanlely       01:38:19 R batch          
1715168.node96             plasmid_7.17     lyyanlely       01:37:14 R batch          
1715169.node96             plasmid_8.17     lyyanlely       01:30:48 R batch          
1715170.node96             plasmid_9.17     lyyanlely       01:22:27 R batch          
1715171.node96             plasmid_10.17    lyyanlely       00:49:01 R batch          
1715172.node96             plasmid_11.17    lyyanlely       00:45:05 R batch          
1715173.node96             plasmid_12.17    lyyanlely       00:14:01 R batch          
1715174.node96             plasmid_13.17    lyyanlely              0 Q batch          
1715175.node96             plasmid_14.17    lyyanlely              0 Q batch          
1715176.node96             plasmid_15.17    lyyanlely              0 Q batch          
1715177.node96             plasmid_1.18     lyyanlely              0 Q batch          
1715178.node96             plasmid_2.18     lyyanlely              0 Q batch          
1715179.node96             plasmid_3.18     lyyanlely              0 Q batch          
1715180.node96             plasmid_4.18     lyyanlely              0 Q batch          
1715181.node96             plasmid_5.18     lyyanlely              0 Q batch          
1715182.node96             plasmid_6.18     lyyanlely              0 Q batch          
1715183.node96             plasmid_7.18     lyyanlely              0 Q batch          
1715184.node96             plasmid_8.18     lyyanlely              0 Q batch          
1715185.node96             plasmid_9.18     lyyanlely              0 Q batch          
1715186.node96             plasmid_10.18    lyyanlely              0 Q batch          
1715187.node96             plasmid_11.18    lyyanlely              0 Q batch          
1715188.node96             plasmid_12.18    lyyanlely              0 Q batch          
1715189.node96             plasmid_13.18    lyyanlely              0 Q batch          
1715190.node96             plasmid_14.18    lyyanlely              0 Q batch          
1715191.node96             plasmid_15.18    lyyanlely              0 Q batch          
1715192.node96             plasmid_1.19     lyyanlely              0 Q batch          
1715193.node96             plasmid_2.19     lyyanlely              0 Q batch          
1715194.node96             plasmid_3.19     lyyanlely              0 Q batch          
1715195.node96             plasmid_4.19     lyyanlely              0 Q batch          
1715196.node96             plasmid_5.19     lyyanlely              0 Q batch          
1715197.node96             plasmid_6.19     lyyanlely              0 Q batch          
1715198.node96             plasmid_7.19     lyyanlely              0 Q batch          
1715199.node96             plasmid_8.19     lyyanlely              0 Q batch          
1715200.node96             plasmid_9.19     lyyanlely              0 Q batch          
1715202.node96             plasmid_10.19    lyyanlely              0 Q batch          
1715203.node96             plasmid_11.19    lyyanlely              0 Q batch          
1715204.node96             plasmid_12.19    lyyanlely              0 Q batch          
1715205.node96             plasmid_13.19    lyyanlely              0 Q batch          
1715206.node96             plasmid_14.19    lyyanlely              0 Q batch          
1715207.node96             plasmid_15.19    lyyanlely              0 Q batch          
1715208.node96             plasmid_1.20     lyyanlely              0 Q batch          
1715209.node96             plasmid_2.20     lyyanlely              0 Q batch          
1715210.node96             plasmid_3.20     lyyanlely              0 Q batch          
1715211.node96             plasmid_4.20     lyyanlely              0 Q batch          
1715212.node96             plasmid_5.20     lyyanlely              0 Q batch          
1715213.node96             plasmid_6.20     lyyanlely              0 Q batch          
1715214.node96             plasmid_7.20     lyyanlely              0 Q batch          
1715215.node96             plasmid_8.20     lyyanlely              0 Q batch          
1715216.node96             plasmid_9.20     lyyanlely              0 Q batch          
1715217.node96             plasmid_10.20    lyyanlely              0 Q batch          
1715218.node96             plasmid_11.20    lyyanlely              0 Q batch          
1715219.node96             plasmid_12.20    lyyanlely              0 Q batch          
1715220.node96             plasmid_13.20    lyyanlely              0 Q batch          
1715221.node96             plasmid_14.20    lyyanlely              0 Q batch          
1715222.node96             plasmid_15.20    lyyanlely              0 Q batch          
1715310.node96             Li8+45LiCl       hhk05           1838:58: R batch          
1715311.node96             H2+2Li+45LiCl    hhk05           1781:58: R batch          
1715384.node96             ...1_3_0_0_0.107 liz             358:20:2 R batch          
1715385.node96             ...1_3_0_0_0.108 liz             342:19:4 R batch          
1715386.node96             ...1_3_0_0_0.109 liz             305:47:3 R batch          
1715387.node96             ..._1_3_0_0_0.11 liz             110:28:3 R batch          
1715388.node96             ...1_3_0_0_0.110 liz             109:34:5 R batch          
1715389.node96             ...1_3_0_0_0.111 liz             64:58:09 R batch          
1715390.node96             ...1_3_0_0_0.112 liz             64:31:12 R batch          
1715391.node96             ...1_3_0_0_0.113 liz                    0 Q batch          
1715392.node96             ...1_3_0_0_0.114 liz                    0 Q batch          
1715393.node96             ...1_3_0_0_0.115 liz                    0 Q batch          
1715394.node96             ...1_3_0_0_0.116 liz                    0 Q batch          
1715395.node96             ...1_3_0_0_0.117 liz                    0 Q batch          
1715396.node96             ...1_3_0_0_0.118 liz                    0 Q batch          
1715397.node96             ...1_3_0_0_0.119 liz                    0 Q batch          
1715398.node96             ..._1_3_0_0_0.12 liz                    0 Q batch          
1715399.node96             ...1_3_0_0_0.120 liz                    0 Q batch          
1715400.node96             ...1_3_0_0_0.121 liz                    0 Q batch          
1715401.node96             ...1_3_0_0_0.122 liz                    0 Q batch          
1715402.node96             ...1_3_0_0_0.123 liz                    0 Q batch          
1715403.node96             ...1_3_0_0_0.124 liz                    0 Q batch          
1715404.node96             ...1_3_0_0_0.125 liz                    0 Q batch          
1715406.node96             ...1_3_0_0_0.126 liz                    0 Q batch          
1715407.node96             ...1_3_0_0_0.127 liz                    0 Q batch          
1715408.node96             ...1_3_0_0_0.128 liz                    0 Q batch          
1715409.node96             ...1_3_0_0_0.129 liz                    0 Q batch          
1715410.node96             ..._1_3_0_0_0.13 liz                    0 Q batch          
1715411.node96             ...1_3_0_0_0.130 liz                    0 Q batch          
1715412.node96             ...1_3_0_0_0.131 liz                    0 Q batch          
1715413.node96             ...1_3_0_0_0.132 liz                    0 Q batch          
1715414.node96             ...1_3_0_0_0.133 liz                    0 Q batch          
1715415.node96             ...1_3_0_0_0.134 liz                    0 Q batch          
1715416.node96             ...1_3_0_0_0.135 liz                    0 Q batch          
1715417.node96             ...1_3_0_0_0.136 liz                    0 Q batch          
1715418.node96             ...1_3_0_0_0.137 liz                    0 Q batch          
1715419.node96             ...1_3_0_0_0.138 liz                    0 Q batch          
1715420.node96             ...1_3_0_0_0.139 liz                    0 Q batch          
1715421.node96             ..._1_3_0_0_0.14 liz                    0 Q batch          
1715422.node96             ...1_3_0_0_0.140 liz                    0 Q batch          
1715423.node96             ...1_3_0_0_0.141 liz                    0 Q batch          
1715424.node96             ...1_3_0_0_0.142 liz                    0 Q batch          
1715425.node96             ...1_3_0_0_0.143 liz                    0 Q batch          
1715426.node96             ...1_3_0_0_0.144 liz                    0 Q batch          
1715427.node96             ...1_3_0_0_0.145 liz                    0 Q batch          
1715428.node96             ...1_3_0_0_0.146 liz                    0 Q batch          
1715429.node96             ...1_3_0_0_0.147 liz                    0 Q batch          
1715430.node96             ...1_3_0_0_0.148 liz                    0 Q batch          
1715431.node96             ...1_3_0_0_0.149 liz                    0 Q batch          
1715432.node96             ..._1_3_0_0_0.15 liz                    0 Q batch          
1715433.node96             ...1_3_0_0_0.150 liz                    0 Q batch          
1715434.node96             ...1_3_0_0_0.151 liz                    0 Q batch          
1715435.node96             ...1_3_0_0_0.152 liz                    0 Q batch          
1715436.node96             ...1_3_0_0_0.153 liz                    0 Q batch          
1715437.node96             ...1_3_0_0_0.154 liz                    0 Q batch          
1715438.node96             ...1_3_0_0_0.155 liz                    0 Q batch          
1715439.node96             ...u4RMHCpp10.sh annaliu         480:57:3 R batch          
1715462.node96             H2+2Na+45NaCl    hhk05                  0 Q batch          
1715535.node96             ...m_init_02.job macgbrown       00:00:04 R batch          
1715604.node96             Ni1Pb82liquid    vishchem        774:20:0 R batch          
1715610.node96             Pd1Pb82liquid    vishchem        768:27:3 R batch          
1715616.node96             Pt1Pb82liquid    vishchem        606:23:3 R batch          
1715626.node96             Pt1CO2Sn82liquid vishchem        701:08:4 R batch          
1715812.node96             ..._10K_D650.job jclayton        378:39:1 R batch          
1715832.node96             Pt1H1Sn82liquid  vishchem        702:26:1 R batch          
1715835.node96             Pt1H2n82liquid   vishchem        664:54:3 R batch          
1716012.node96             ..._1.00e-03.job jkbeavers       63:13:08 R batch          
1716017.node96             ..._1.00e-03.job jkbeavers       43:56:49 R batch          
1716018.node96             ..._1.00e-03.job jkbeavers       143:45:0 R batch          
1716019.node96             ..._1.00e-03.job jkbeavers       35:57:27 R batch          
1716020.node96             ..._1.00e-03.job jkbeavers       36:09:38 R batch          
